Designator,Mid X,Mid Y,Layer,Rotation
A1,153.0,-131.0,T,90.0
BT1,147.0,-143.0,B,0.0
C1,161.7925,-61.53,T,180.0
C10,172.9,-72.45,T,0.0
C11,133.37,-108.47,T,0.0
C12,132.745,-111.1,T,0.0
C13,117.71,-109.52,T,270.0
C14,161.81,-65.23,T,270.0
C15,128.22,-103.1,T,180.0
C16,176.5,-55.5,T,0.0
C17,178.0,-65.11,T,180.0
C18,177.495,-67.62,T,180.0
C19,184.0,-45.0,T,180.0
C2,153.56,-76.45,T,90.0
C20,132.75,-103.81,T,0.0
C21,132.0,-117.5,T,180.0
C22,184.0,-71.0,T,180.0
C23,184.0,-140.0,T,180.0
C24,108.1375,-45.0,T,180.0
C25,108.1375,-97.0,T,180.0
C26,184.1375,-97.0,T,180.0
C27,108.1375,-71.0,T,180.0
C28,108.0,-123.0,T,180.0
C29,115.75,-153.0,T,180.0
C3,139.92,-86.25,T,270.0
C30,130.0,-153.0,T,180.0
C31,162.0,-153.0,T,180.0
C32,175.1375,-152.75,T,180.0
C33,167.19,-98.88,T,90.0
C34,173.1,-98.95,T,90.0
C35,175.2375,-94.9,T,0.0
C4,138.0,-86.0,T,90.0
C5,168.02,-52.18,T,0.0
C6,132.745,-113.1,T,0.0
C7,177.55,-62.24,T,180.0
C8,168.5,-74.0,T,180.0
C9,151.48,-76.6475,T,90.0
D1,177.0,-157.0,T,0.0
D10,186.0,-75.0,T,0.0
D11,186.0,-101.0,T,0.0
D12,186.0,-144.0,T,0.0
D2,164.0,-157.0,T,0.0
D3,132.0,-157.0,T,0.0
D4,119.0,-157.0,T,0.0
D41,160.0,-146.0,T,0.0
D42,160.0,-141.0,T,0.0
D5,110.0,-127.0,T,0.0
D6,110.0,-101.0,T,0.0
D7,110.0,-75.0,T,0.0
D8,110.0,-49.0,T,0.0
D9,186.0,-49.0,T,0.0
F1,146.558,-131.826,T,180.0
F2,172.5,-146.0,T,180.0
J1,134.0,-44.0,T,90.0
J2,134.0,-143.25,T,180.0
J4,128.6,-33.3,T,270.0
J5,167.4,-33.3,T,270.0
J6,188.5,-122.5,T,270.0
LS1,119.0,-33.0,T,270.0
MK1,179.0,-34.0,T,270.0
R1,163.0,-136.0,T,270.0
R10,170.1,-98.4,T,180.0
R14,121.5,-103.0,T,0.0
R15,132.75,-105.81,T,180.0
R2,116.73,-114.29,T,0.0
R3,183.0,-151.0,T,180.0
R4,153.61,-83.17,T,270.0
R5,147.0,-74.0,T,180.0
R6,136.0,-86.025,T,90.0
R7,177.54,-39.73,T,0.0
R8,132.72,-115.1,T,0.0
R9,176.9,-72.45,T,180.0
SW1,144.0,-156.0,T,0.0
U1,144.0,-80.0,T,180.0
U2,120.97,-106.6,T,0.0
U3,165.91,-59.93,T,0.0
U4,170.1,-95.4,T,0.0
X1,136.47,-54.21,T,270.0
Y1,163.4,-89.8,T,0.0
