Designator,Mid X,Mid Y,Layer,Rotation
J1,134.0,-44.0,T,90.0
R1,108.0,-71.0,B,0.0
R10,108.0,-134.0,B,0.0
R11,150.0,-92.0,B,0.0
R12,150.0,-134.0,B,0.0
R13,129.0,-92.0,B,0.0
R14,129.0,-134.0,B,0.0
R15,171.0,-92.0,B,0.0
R16,171.0,-134.0,B,0.0
R17,126.0,-32.0,B,0.0
R18,111.5,-48.0,B,45.0
R19,125.0,-48.0,B,90.0
R2,108.0,-113.0,B,0.0
R20,135.0,-61.0,B,90.0
R21,182.0,-48.75,B,0.0
R22,189.5,-61.0,B,90.0
R23,159.0,-40.0,B,180.0
R3,150.0,-71.0,B,0.0
R4,150.0,-113.0,B,0.0
R5,129.0,-71.0,B,0.0
R6,129.0,-113.0,B,0.0
R7,171.0,-71.0,B,0.0
R8,171.0,-113.0,B,0.0
R9,108.0,-92.0,B,0.0
RV1,107.0,-61.0,B,180.0
SW_0,140.0,-139.0,T,0.0
SW_1,119.0,-76.0,T,0.0
SW_2,140.0,-76.0,T,0.0
SW_3,161.0,-76.0,T,0.0
SW_4,119.0,-97.0,T,0.0
SW_5,140.0,-97.0,T,0.0
SW_6,161.0,-97.0,T,0.0
SW_7,119.0,-118.0,T,0.0
SW_8,140.0,-118.0,T,0.0
SW_9,161.0,-118.0,T,0.0
SW_A1,182.0,-76.0,T,0.0
SW_B1,182.0,-97.0,T,0.0
SW_C1,182.0,-118.0,T,0.0
SW_D1,182.0,-139.0,T,0.0
SW_OCTO1,161.0,-139.0,T,0.0
SW_STAR1,119.0,-139.0,T,0.0
U1,116.0,-36.0,T,0.0
U2,112.0,-53.0,B,270.0
U3,166.5,-53.0,B,270.0
